keywords,count
N/A,23
"alcohol dependence, alcohol withdrawal, acute hospitals, readmission",1
"Cannabis/marijuana, Sepsis, Cardiovascular outcomes, Major adverse cardiac and cerebrovascular events, Pulmonological complications, Cancer",1
"Substance use disorders, Adolescent, Young adult, Critical care, Electronic health records",1
"Bladder cancer, Muscle-invasive urothelial carcinoma, Radical cystectomy, Adjuvant chemotherapy, Survival, Prospective cohort",1
"pulmonary nodules, lung nodules, clinical pathway, pulmonary nodule service",1
"data linkage, maternal health, child health, Health Information Exchange",1
"AngioVac, percutaneous mechanical aspiration, PWID, tricuspid endocarditis, tricuspid valve replacement",1
"serum sodium, biological age, hydration, aging, hydration management",1
"geriatric nutritional risk index, osteoarthritis, risk factors, elderly, NHANES",1
"discharge against medical advice, disparity, emergency department, inpatient admission, public health",1
"hidradenitis suppurativa, real-world data, comorbidities, ocular disease",1
"borderline personality disorder, facial plastic surgery, type B personality disorder",1
"Cardiovascular disease, Work, Public health, Sex",1
"children and youth, mental disorders, substance-use disorders, birth cohort, health administrative data",1
"mental disorders, opioid use disorder, anxiety, depression, epidemiology prevalence, population data",1
"anti-bacterial agents, anti-infective agents, drug overdose, OPAT, substance-related disorders",1
"Hypertensive disorders of pregnancy, Gestational hypertension, Preeclampsia, Eclampsia, Type 2 diabetes mellitus, Prediabetes, Mortality",1
"Emergency room visits, Opioid overdose, Opioid use disorder, Synthetic opioids, Buprenorphine, Patient costs, Medication for opioid use disorder",1
"Cocaine, Use, Trends, Harms, Treatment, Deaths",1
"Diabetes, Neutrophil-to-high-density lipoprotein cholesterol ratio, Mortality, Risk factors, Prevention",1
"Posterior reversible encephalopathy syndrome, nationwide inpatient sample, chronic kidney disease, kidney failure, end-stage kidney disease, In-hospital mortality",1
"behavioral determinants of health, metabolic determinants of health, systemic immune-inflammation index, systemic inflammatory response index, NHANES",1
"Chronic obstructive pulmonary disease, Socioeconomic status, Lifestyle, Cohort study",1
"telemedicine, opioids, buprenorphine, health care utilization, telehealth, utilization, usage, claims data, services, OUD, opioid use disorder, retrospective, cohort, pain, chronic",1
"meniscal allograft transplantation, immune hypersensitivity, graft failure, clinically significant outcome improvement",1
"Substance use disorder, alcohol use, cannabis use, opioid use",1
