meshTags,count
"Humans, Cancer Survivors, Male, Female, Cross-Sectional Studies, Prevalence, Middle Aged, United States, Adult, Retrospective Studies, Alcoholism, Neoplasms, Aged, Young Adult",1
"Humans, Patient Readmission, Male, England, Female, Middle Aged, Cross-Sectional Studies, Retrospective Studies, Adult, Aged, Substance Withdrawal Syndrome, Alcoholism, Young Adult",1
"Humans, Urinary Bladder Neoplasms, Male, Female, France, Aged, Neoplasm Invasiveness, Neoplasm Recurrence, Local, Middle Aged, Cystectomy, Prospective Studies, Cohort Studies, Survival Rate, Aged, 80 and over, Chemotherapy, Adjuvant, Treatment Outcome",1
"Humans, Indiana, Female, Infant, Newborn, Longitudinal Studies, Population Surveillance, Pregnancy, Neonatal Abstinence Syndrome, Infant, Stillbirth, Syphilis, Congenital, Maternal Health, Electronic Health Records",1
"Humans, Analgesics, Opioid, Pregnancy, Female, Child, United States, Pharmacoepidemiology, United States Food and Drug Administration, Drug Labeling, Opioid-Related Disorders",1
"Humans, Retrospective Studies, Ontario, Opioid-Related Disorders, Analgesics, Opioid, Female, Male, Drug Prescriptions",1
"Humans, Hidradenitis Suppurativa, Male, Female, Adult, Middle Aged, Databases, Factual, Risk Factors, Eye Diseases, Comorbidity, Young Adult, Aged, Case-Control Studies, Risk Assessment, Retrospective Studies, Odds Ratio",1
"Humans, COVID-19, Female, Substance-Related Disorders, Retrospective Studies, Child, Ohio, Child Welfare, Child Abuse, Adult, Parents, Adolescent, SARS-CoV-2, Pandemics",1
"Humans, Female, Male, Antidepressive Agents, Middle Aged, Retrospective Studies, Spain, Adult, Depressive Disorder, Cohort Studies, Aged, Medication Adherence, Sex Factors, Age Factors, Comorbidity",1
"Humans, United States, Medicaid, Male, Female, Pilot Projects, Adult, Middle Aged, Housing, Ill-Housed Persons, Oregon, Cohort Studies",1
"Humans, Emergency Service, Hospital, Adult, United States, Female, Male, Middle Aged, Adolescent, Substance-Related Disorders, Retrospective Studies, Socioeconomic Factors, Patient Discharge, COVID-19, Young Adult, Child, Hospitalization, Emergency Room Visits",1
"Humans, Lead, Cadmium, Middle Aged, Male, Female, DNA Methylation, United States, Smoking, Aged, Nutrition Surveys, Environmental Pollutants, Mortality, Environmental Exposure",1
"Humans, Female, Male, Adult, Retrospective Studies, Opiate Overdose, Opioid-Related Disorders, Middle Aged, Opiate Substitution Treatment, Buprenorphine, Methadone, Connecticut, Cohort Studies, Young Adult, Drug Overdose, Analgesics, Opioid",1
