pmid,title,abstract,journal,publicationDate,doi,firstAuthor,lastAuthor,authorAffiliations,meshTags,keywords
40397996,Trends in substance use among child welfare-involved parents during the COVID-19 pandemic.,"Parental substance use is a major risk factor for child maltreatment, but the impact of the COVID-19 pandemic on substance use among parents involved in child welfare is not well understood. This study aimed to examine substance use patterns in child welfare cases from 2019 to 2022. Female parents assessed for child abuse or neglect using administrative data from the Ohio Statewide Automated Child Welfare Information System (Ohio SACWIS). Substance types were recorded during the family assessment at case entry. A retrospective observational study was conducted to compare substance involvement before, during, and after the onset of the pandemic. Single changepoint analyses identified significant shifts in the mean percentage of cases involving substance use overall and for specific substances during selected weeks of each year. Among 264,380 women investigated, 65,796 (24.9 %) were involved with substance use. In 2020, the percentage of cases involving substance use peaked in the second quarter, driven by polysubstance and cannabis use. Changepoint analyses confirmed these changes. Only in 2020 did substance use cases significantly increase (32.4 % to 41.8 %) in week 10, coinciding with the national emergency declaration. Similar increases were observed for polysubstance and cannabis use. The rise in substance-involved cases early in the pandemic corroborates national trends, with cannabis use notably driving this change, suggesting that parents may have used substances to cope. The high prevalence of polysubstance use highlights the need for targeted treatment programs and policy interventions for parental substance use.",Child abuse & neglect,2025-08-01,10.1016/j.chiabu.2025.107487,Yun Ye,Bridget Freisthler,"The Ohio State University, College of Social Work, 1947 College Road N., Columbus, OH 43210, United States of America. Electronic address: ye.662@osu.edu.; The Ohio State University, College of Social Work, 1947 College Road N., Columbus, OH 43210, United States of America. Electronic address: dellor.1@osu.edu.; The Ohio State University, College of Social Work, 1947 College Road N., Columbus, OH 43210, United States of America. Electronic address: freisthler.19@osu.edu.","Humans, COVID-19, Female, Substance-Related Disorders, Retrospective Studies, Child, Ohio, Child Welfare, Child Abuse, Adult, Parents, Adolescent, SARS-CoV-2, Pandemics","Child welfare, Covid-19, Epidemiology, Parental, Polysubstance, Substance use"
40398613,Analysis of therapeutic adherence to antidepressants and associated factors in patients with depressive disorder: A population-based cohort study.,"Non-adherence to antidepressants is a common problem that can significantly impact health outcomes in patients with depressive disorders. The aim of this study was to assess antidepressant adherence rates and identify factors associated with non-adherence in a population-based cohort of patients with depressive disorders, using real-world data. This retrospective, population-based cohort study used real-world data from patients diagnosed with depression in the Canary Islands, Spain, between 2013 and 2021. Adherence to antidepressants was assessed using the Medication Possession Ratio (MPR) over a 12-month follow-up period. Patients were classified as adherent if they had an MPR ≥ 0.8. To assess the association with sociodemographic, clinical, and lifestyle variables, multivariate logistic regression models were performed. Among the 39,800 patients included, the overall adherence rate to antidepressants was 31.02 %. Older age, female sex, and the presence of multiple comorbidities were significantly associated with higher adherence rates. In contrast, alcohol, and tobacco use, as well as inadequate nutrition, were significantly linked with lower adherence. Non-adherence to antidepressants is a highly prevalent problem in patients with depressive disorders. The findings of this study highlight the importance of identifying factors that influence adherence and developing specific interventions to improve treatment outcomes in this population.",Journal of affective disorders,2025-09-15,10.1016/j.jad.2025.119443,Diego Infante-Ventura,Tasmania Del Pino-Sedeño,"Canary Islands Health Research Institute Foundation (FIISC), Tenerife, Spain; Evaluation Unit (SESCS), Canary Islands Health Service (SCS), Tenerife, Spain; Spanish Network of Agencies for Health Technology Assessment for the National Health Service (RedETS), Spain; Department of Clinical Psychology, Psychobiology and Methodology, University of La Laguna, Tenerife, Spain.; Canary Islands Health Research Institute Foundation (FIISC), Tenerife, Spain; Evaluation Unit (SESCS), Canary Islands Health Service (SCS), Tenerife, Spain; Spanish Network of Agencies for Health Technology Assessment for the National Health Service (RedETS), Spain.; Canary Islands Health Research Institute Foundation (FIISC), Tenerife, Spain; Evaluation Unit (SESCS), Canary Islands Health Service (SCS), Tenerife, Spain; Spanish Network of Agencies for Health Technology Assessment for the National Health Service (RedETS), Spain; Research Network on Chronicity, Primary Care, and Health Promotion (RICAPPS), Carlos III Health Institute (Instituto de Salud Carlos III), Madrid, Spain.; Canary Islands Health Research Institute Foundation (FIISC), Tenerife, Spain; Evaluation Unit (SESCS), Canary Islands Health Service (SCS), Tenerife, Spain; Spanish Network of Agencies for Health Technology Assessment for the National Health Service (RedETS), Spain; Research Network on Chronicity, Primary Care, and Health Promotion (RICAPPS), Carlos III Health Institute (Instituto de Salud Carlos III), Madrid, Spain.; Research Network on Chronicity, Primary Care, and Health Promotion (RICAPPS), Carlos III Health Institute (Instituto de Salud Carlos III), Madrid, Spain; Data Science for Health Services and Policy Research Group, Aragon Health Sciences Institute (IACS), Zaragoza, Spain.; Department of Mental Health. General Directorate of Mental Health and Addictions, Canary Health Service, Las Palmas de Gran Canaria, Spain; Department of Psychiatry, Dr. Negrín University Hospital of Gran Canaria, Las Palmas de Gran Canaria, Spain.; Research Network on Chronicity, Primary Care, and Health Promotion (RICAPPS), Carlos III Health Institute (Instituto de Salud Carlos III), Madrid, Spain; Management of Primary Care of Tenerife, Santa Cruz de Tenerife, Spain.; Research Network on Chronicity, Primary Care, and Health Promotion (RICAPPS), Carlos III Health Institute (Instituto de Salud Carlos III), Madrid, Spain; Health Services Research & Pharmacoepidemiology Unit, Foundation for the Promotion of Health and Biomedical Research of the Valencian Community (FISABIO), Valencia, Spain.; Canary Islands Health Research Institute Foundation (FIISC), Tenerife, Spain; Evaluation Unit (SESCS), Canary Islands Health Service (SCS), Tenerife, Spain; Spanish Network of Agencies for Health Technology Assessment for the National Health Service (RedETS), Spain; Research Network on Chronicity, Primary Care, and Health Promotion (RICAPPS), Carlos III Health Institute (Instituto de Salud Carlos III), Madrid, Spain; Faculty of Health Sciences, Universidad Europea de Canarias, Tenerife, Spain. Electronic address: tasmania.delpino@sescs.es.","Humans, Female, Male, Antidepressive Agents, Middle Aged, Retrospective Studies, Spain, Adult, Depressive Disorder, Cohort Studies, Aged, Medication Adherence, Sex Factors, Age Factors, Comorbidity","Antidepressive agents, Cohort studies, Depressive disorder, Medication adherence, Real-world data"
40401763,Anxiety but not Depression Is Associated With Increased Health Care Utilization Following Lumbar Fusion.,"Observational cohort study. The purpose of this study is to describe the association between 3 prevalent mental health comorbidities and 1-year health care utilization after lumbar fusion surgery. The volume of lumbar fusion procedures in the United States is increasing, leading to a substantial postoperative health care burden. Postoperative costs associated with these procedures may be driven by a number of factors, including patient comorbidities. A large national commercial claims database (MarketScan, Merative) was analyzed. Patients who underwent a single-level lumbar fusion from January 1, 2018, to December 31, 2018, were included in the study. Patients were categorized based on the presence of a prior diagnosis of opioid dependence, anxiety, or depression. The main outcome was the total cost for postoperative interventions in the 1-year period after lumbar fusion. Interventions examined in this study included: (i) physical therapy, (ii) injections, (iii) pain medication, (iv) imaging, (v) clinic visits, and (vi) subsequent spine surgeries. The study population included 4245 patients (anxiety, 19.2%; depression; 19.2%; opioid dependence, 2.6%). The average total 1-year postoperative cost per patient was $8641 ± 19,661. Higher-cost patients were more likely to be those with a prior diagnosis of anxiety (OR 1.41, 95% CI 1.18-1.69, P<0.001) or opioid dependence (OR 1.82, 95% CI 1.23-2.69, P<0.01). Anxiety was found to be associated with the largest relative increases in total costs compared with patients without this diagnosis (+$2,272, P=0.003). The cost of pain medication was 4.2 times higher (P<0.001) among patients with a prior diagnosis of opioid dependence. Patients undergoing single-level lumbar fusion have varying levels of health care utilization, with a prior diagnosis of anxiety likely to drive higher costs.",Clinical spine surgery,2025-05-22,10.1097/BSD.0000000000001783,Darren Z Nin,David H Kim,"Department of Orthopedic Surgery, New England Baptist Hospital.; Department of Surgery, Massachusetts General Hospital, Harvard Medical School.; Rush University Medical Center, Chicago, IL.; Department of Surgery, Massachusetts General Hospital, Harvard Medical School.; Department of Orthopedic Surgery, New England Baptist Hospital.; Tufts University School of Medicine.; Department of Orthopedic Surgery, New England Baptist Hospital.; Department of Neurosurgery, Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, MA.; Department of Orthopedic Surgery, New England Baptist Hospital.; Department of Surgery, Massachusetts General Hospital, Harvard Medical School.; Department of Orthopedic Surgery, New England Baptist Hospital.; Tufts University School of Medicine.",N/A,"comorbidities, costs, health care utilization, mental health"
40402494,"Participant Needs, Service Utilization, and Costs in a Medicaid Housing Pilot Program.","Housing instability and homelessness have wide-ranging health and social effects. Health systems increasingly recognize the importance of addressing these needs to make progress toward health equity goals and reduce health care costs. State Medicaid programs are uniquely positioned to support the housing needs of their members but are relatively new to the housing space and need to understand how to most effectively partner with the housing sector to improve health outcomes. To evaluate the implementation and initial outcomes of a housing benefit pilot program, including participant characteristics, needs, and service utilization. This was a cohort study involving a pilot program that provided temporary rental assistance, housing navigation, and additional supports to Medicaid members between May 2022 and October 2024. The pilot took place in the Portland, Oregon, metropolitan area involving Medicaid members of Health Share of Oregon, a large coordinated care organization. Individuals were referred to the program primarily from foster care, substance use disorder residential programs, and corrections facilities. Data were analyzed from October 2024 to March 2025. Enrolled participants received services, including temporary rental assistance, housing navigation, and other supports, for up to 12 months, with modifications made mid-pilot due to capacity challenges. Participant demographic characteristics, baseline needs, service utilization, and costs associated with the housing benefit program. Of 716 referrals, 517 individuals (mean [SD] age, 37.8 [11.1] years; 295 [57.1%] male) enrolled; including 14 American Indian or Alaskan Native individuals (2.7%), 7 Asian individuals (1.4%), 67 Black individuals (13.0%), 22 Hispanic individuals (4.3%), 6 Native Hawaiian or Pacific Islander individuals (1.2%), and 308 White individuals (59.6%); 513 individuals (99.2%) spoke English. Participants had substantial housing needs, with rent (383 individuals [74.1%]) and utility (282 individuals [54.5%]) support being the most frequently reported needs and used services. The mean (SD) cost per member per month was $2225 ($1586). Frequently reported nonhousing needs included employment (154 individuals [42.3%]), food (152 individuals [41.8%]), mental health (94 individuals [25.8%]), and transportation (86 individuals [23.6%]). The findings of this cohort study provide critical insights into the types of services needed and associated costs for supporting housing as a Medicaid benefit. Significant needs were observed, emphasizing the necessity of cross-sector collaboration and clear role definitions between health care and housing organizations. The findings offer valuable lessons for the design and implementation of housing support programs under Medicaid; these insights are crucial as Oregon and other states consider similar initiatives to address housing as a health-related social need.",JAMA network open,2025-05-01,10.1001/jamanetworkopen.2025.12405,Monique Gill,Catherine J Livingston,"Center for Outcomes Research and Education, Portland, Oregon.; Health Share of Oregon, Portland.; Center for Outcomes Research and Education, Portland, Oregon.; Center for Outcomes Research and Education, Portland, Oregon.; Health Share of Oregon, Portland.; Oregon Health and Science University, Portland.","Humans, United States, Medicaid, Male, Female, Pilot Projects, Adult, Middle Aged, Housing, Ill-Housed Persons, Oregon, Cohort Studies",N/A
40406079,Socioeconomic differences in discharge against medical advice and hospital admission among emergency department visits associated with substance use in the United States.,"Discharge against medical advice (DAMA) and inpatient admission (IA) among emergency department (ED) visits are two important outcomes in hospital utilization, while the first one has been mainly considered a negative outcome. This study aimed to examine the association of socioeconomic factors with DAMA and IA among ED visits with substance use (age 12-64 years) before and after the COVID-19 pandemic. The study retrospectively analyzed the Nationwide Emergency Department Sample (NEDS) from 2019 to 2020. The International Classification of Diseases 10th Revision (ICD-10) codes were used to identify opioid, cannabis, and alcohol use, and smoking. The pandemic was significantly associated with higher odds of IA (OR 1.04, CI 1.02-1.06). Female gender and rural hospitals were adversely associated with both DAMA and IA, but lower household incomes were positively and negatively associated with DAMA and IA, respectively. Race and health insurance were partly differently associated with these outcomes. Asian patients exhibited significantly lower odds (OR 0.82, CI 0.71-0.88) regarding DAMA. Black (OR 0.79, CI 0.78-0.80) and Native American patients (OR 0.87, CI 0.82-0.90) exhibited lower odds, and Hispanic (OR 1.05, CI 1.03-1.06) and Asian patients (OR 1.40, CI 1.33-1.44) had higher odds compared to White patients in terms of AI. Except for self-pay, which was associated with lower odds of IA, Medicaid, self-pay, and free care were significantly associated with higher odds of DAMA and IA. Our results also showed that the COVID-19 pandemic affected the association of health insurance with IA, but not with DAMA. These findings highlight the complex association of socioeconomic factors with DAMA and IA. By addressing these differences within the hospital setting, providers can mitigate the negative consequences of substance use on patient health and reduce the burden on healthcare systems.",Frontiers in public health,2025,10.3389/fpubh.2025.1431384,Zahra Mojtahedi,Jay J Shen,"Department of Healthcare Administration and Policy, School of Public Health, University of Nevada, Las Vegas, NV, United States.; Research Core Capacity, Northern Arizona University, Flagstaff, AZ, United States.; Department of Healthcare Administration and Policy, School of Public Health, University of Nevada, Las Vegas, NV, United States.; School of Medicine, University of Nevada, Las Vegas, NV, United States.; Department of Healthcare Administration, Asia University, Taichung, Taiwan.; Department of Healthcare Administration and Policy, School of Public Health, University of Nevada, Las Vegas, NV, United States.; Center for Health Disparities Research, School of Public Health, University of Nevada, Las Vegas, NV, United States.","Humans, Emergency Service, Hospital, Adult, United States, Female, Male, Middle Aged, Adolescent, Substance-Related Disorders, Retrospective Studies, Socioeconomic Factors, Patient Discharge, COVID-19, Young Adult, Child, Hospitalization, Emergency Room Visits","discharge against medical advice, disparity, emergency department, inpatient admission, public health"
40406152,Serum sodium within the normal range and its U-shaped relationship with biological aging in U.S. adults.,"This cross-sectional study evaluated the correlation between serum sodium levels (135-145 mmol/L) and biological aging in U.S. adults. Biological age, derived from multi-system biomarkers, provides a more accurate assessment of aging than chronological age. Hydration balance, reflected by serum sodium, may modulate age-related diseases and mortality, but its link to biological aging remains underexplored. Using NHANES data (1999-2018), we focused on normonatremic adults (≥20 years). The final cohort included 18,301 participants. Biological age was estimated using the Klemera and Doubal method, and ∆age (biological age-chronological age) was calculated. Associations were assessed using multivariate regression, generalized additive models, and threshold analysis. Subgroup analyses were conducted for variations across different populations. Nonlinear analysis revealed a U-shaped relationship between serum sodium and biological age. The lowest biological age occurred at 139.3 mmol/L: each 1 mmol/L increase below this threshold was associated with a reduction of 0.10 years in biological age (95% CI: -0.15, -0.05), whereas values above it showed a 0.08-year increase (95% CI: 0.04, 0.13). For ∆age, a negative association was observed below 141.2 mmol/L, with each increase linked to a 0.07-year decrease (95% CI: -0.10, -0.04). Subgroup analyses revealed significant interactions in diabetic and smoking populations. Maintaining serum sodium levels within an optimal range (138-142 mmol/L) may help delay biological aging. Hydration management may serve as a modifiable factor for healthy aging, particularly in high-risk groups such as individuals with diabetes or tobacco use.",Frontiers in nutrition,2025,10.3389/fnut.2025.1589962,Xianxiang Tong,Mengxue Liu,"Department of Anesthesiology, Sichuan Provincial People's Hospital, School of Medicine, University of Electronic Science and Technology of China, Chengdu, China.; Department of Anesthesiology, Sichuan Provincial People's Hospital, School of Medicine, University of Electronic Science and Technology of China, Chengdu, China.; Department of Anesthesiology, Sichuan Provincial People's Hospital, School of Medicine, University of Electronic Science and Technology of China, Chengdu, China.",N/A,"aging, biological age, hydration, hydration management, serum sodium"
40406410,Association between geriatric nutritional risk index and osteoarthritis in aged person over 60: data from NHANES 2005-2018.,"Osteoarthritis (OA), a prevalent age-related degenerative joint disorder, demonstrates significant associations with nutritional status. This study examines the prognostic value of the Geriatric Nutritional Risk Index (GNRI) in OA risk stratification among elderly individuals. This retrospective analysis utilized seven NHANES cycles (2005-2018) encompassing geriatric participants (≥ 60 years) possessing complete GNRI measurements and baseline covariates. For comparative cohort balancing, propensity score matching was executed using inverse probability weighting a matched-pairs design, adjusting for age, alcohol consumption, and the Poverty Income Ratio. Multivariable-adjusted weighted logistic regression quantified GNRI-OA associations, with restricted cubic splines (RCS) characterizing nonlinear dynamics. Subgroup analyses were also performed. This cross-sectional analysis identified 656 OA cases among 3,120 rigorously screened geriatric participants. Elevated GNRI levels demonstrated a significant association with increased OA risk among geriatric populations, with the correlation remaining robust in sensitivity analyses adjusted for metabolic confounders. Specifically, a GNRI ≥ 123.63 was associated with a higher probability of OA in this population. RCS analysis revealed a significant non-linear relationship (p_non-linear < 0.001) between GNRI and OA risk, particularly among men and non-smokers. Subgroup analyses indicated that males, Hispanic Americans, Non-Hispanic Black people, non-smokers, and those with a low PIR were more sensitive to changes in GNRI. Elevated GNRI was independently associated with OA prevalence in geriatric populations, demonstrating nutritional status's pivotal role in degenerative joint pathophysiology. The impact of GNRI on OA risk may differ across demographic subgroups, highlighting the need for personalized approaches in managing OA risk based on nutritional status.",Frontiers in medicine,2025,10.3389/fmed.2025.1579095,Hongxu Lu,Baoleri Xilin,"Department of Orthopedic, International Mongolia Hospital of Inner Mongolia, Inner Mongolia Autonomous Region, Hohhot, China.; Department of Orthopedic, International Mongolia Hospital of Inner Mongolia, Inner Mongolia Autonomous Region, Hohhot, China.; Department of Orthopedic, International Mongolia Hospital of Inner Mongolia, Inner Mongolia Autonomous Region, Hohhot, China.; Department of Orthopedic, International Mongolia Hospital of Inner Mongolia, Inner Mongolia Autonomous Region, Hohhot, China.; Department of Orthopedic, International Mongolia Hospital of Inner Mongolia, Inner Mongolia Autonomous Region, Hohhot, China.; Department of Orthopedic, International Mongolia Hospital of Inner Mongolia, Inner Mongolia Autonomous Region, Hohhot, China.",N/A,"NHANES, elderly, geriatric nutritional risk index, osteoarthritis, risk factors"
40409187,Investigating the associations of blood lead and cadmium with smoking-related DNA methylation and mortality among U.S. adults.,"Lead and cadmium have been linked to alterations in DNA methylation (DNAm) and increased mortality. However, the role of smoking-related DNAm in the link between these heavy metals and mortality remains unclear. We analyzed data from 2110 participants aged 50 and older from the 1999-2002 National Health and Nutrition Examination Survey (NHANES), linked to mortality data from the National Center for Health Statistics (NCHS) with follow-up through 2019. Our study examined the associations between blood lead and cadmium levels, DNA methylation-predicted pack years of smoking (DNAmPackYrs), and mortality outcomes. Our analysis found that higher natural logarithm (Ln)-transformed lead and cadmium levels were positively associated with ln-DNAmPackYrs, with a percent change of 11.34 % (P = 0.001) for lead and 35.57 % (P < 0.001) for cadmium. Participants with both heavy metals above the 50th percentile had the highest DNAmPackYrs, with P for trend < 0.001. Weighted Cox regression analysis demonstrated both ln-lead and ln-DNAmPackYrs were linked to an elevated risk of all mortality outcomes, while ln-cadmium specifically predicted all-cause mortality. A significant interaction between lead and cadmium in relation to all-cause mortality was observed (P for interaction = 0.036). Additionally, significant interactions between DNAmPackYrs and both heavy metals were found in relation to all-cause mortality (P for interaction = 0.001 for lead; P for interaction = 0.013 for cadmium). Drawing from a nationally representative cohort of older U.S. adults, this study provides robust evidence linking blood lead and cadmium levels to smoking-related DNAm and increased mortality risk. Moreover, the analysis revealed additive effects of these metals on smoking-related DNAm, as well as synergistic impacts on all-cause mortality. Additionally, smoking-induced DNAm may play a role in mediating the connection between heavy metal exposure and mortality risk. Additional research is required to investigate the underlying mechanisms of these associations.",Ecotoxicology and environmental safety,2025-07-01,10.1016/j.ecoenv.2025.118360,Yu-Wei Fang,Chien-Yu Lin,"Division of Nephrology, Department of Internal Medicine, Shin-Kong Wu Ho-Su Memorial Hospital, Taipei 111, Taiwan; School of Medicine, College of Medicine, Fu Jen Catholic University, Taipei 242, Taiwan.; Department of Cardiology, National Taiwan University Hospital Yunlin Branch, Yunlin 640, Taiwan.; Department of Environmental and Occupational Medicine, National Taiwan University Hospital, Taipei 100, Taiwan; Department of Internal Medicine, National Taiwan University Hospital, Taipei 100, Taiwan; Department of Internal Medicine, College of Medicine, National Taiwan University, Taipei 100, Taiwan; Institute of Environmental and Occupational Health Sciences, College of Public Health, National Taiwan University, Taipei 100, Taiwan; Department of Internal Medicine, Tungs' Taichung MetroHarbor Hospital, Taichung 435, Taiwan.; Department of Environmental Engineering and Health, Yuanpei University of Medical Technology, Hsinchu 300, Taiwan.; Division of Nephrology, Department of Internal Medicine, Shin-Kong Wu Ho-Su Memorial Hospital, Taipei 111, Taiwan; Department of Environmental Engineering and Health, Yuanpei University of Medical Technology, Hsinchu 300, Taiwan; Department of Internal Medicine, En Chu Kong Hospital, Taipei 237, Taiwan. Electronic address: lin7010@mail2000.com.tw.","Humans, Lead, Cadmium, Middle Aged, Male, Female, DNA Methylation, United States, Smoking, Aged, Nutrition Surveys, Environmental Pollutants, Mortality, Environmental Exposure","Cadmium, DNA methylation, Epigenetics, Lead, Mortality, National health and nutrition examination survey (NHANES)"
40413965,Receipt of addiction treatment after nonfatal opioid overdose and risk of subsequent overdose: A retrospective cohort study.,"Opioid overdose survivors are at high risk for subsequent overdose. There are few evaluations using real-world data to compare overdose risk after receipt of different addiction treatment modalities. To assess the association between receipt of different addiction treatment modalities and risk of subsequent opioid overdose among opioid overdose survivors. Survival analysis comparing time-to-subsequent overdose within a cohort of opioid overdose survivors using a linked state-wide individual level data of different addiction treatment modalities: opioid agonists treatments (OAT, i.e., methadone or buprenorphine) and non-medication based inpatient addiction treatments (medically supervised opioid withdrawal and extended inpatient treatment). Opioid-involved overdose survivors (N = 4089) admitted to a hospital or emergency department in Connecticut between May 2016 and December 2017 MAIN MEASURES: Time-to-subsequent overdose (fatal or non-fatal) and time-to-subsequent fatal overdose KEY RESULTS: Following the index overdose, 467 (11.4 %) experienced another overdose event within 12 months (87 fatal and 380 non-fatal), 35 % received OAT (25 % buprenorphine and 13 % methadone), and 21 % received inpatient addiction treatment (19 % medically supervised opioid withdrawal and 8 % extended inpatient treatment). In survival analyses adjusted for demographics, incarceration, and receipt of non-OAT opioids or benzodiazepines, receipt of methadone (aHR 0.41, 95 % CI: 0.26-0.66) or buprenorphine (aHR 0.72, 95 % CI: 0.53-0.98) was associated with a decreased risk of subsequent overdose compared to no receipt of methadone or buprenorphine, respectively. Neither medically supervised opioid withdrawal (aHR 1.08, 95 % CI: 0.77-1.50) nor extended inpatient treatment (aHR 0.90, 95 % CI: 0.53-1.54) was associated with reduced risk of subsequent overdose. Neither OAT nor non-medication based inpatient treatment modalities were associated with a change in risk of subsequent fatal overdose; benzodiazepine exposure was associated with increased risk (aHR 2.65, 95 % CI: 1.66-4.23). Using statewide data, our findings underscore the importance of OAT to reduce risk of subsequent overdose following a non-fatal opioid overdose.",Drug and alcohol dependence,2025-08-01,10.1016/j.drugalcdep.2025.112679,Benjamin A Howell,William C Becker,"Section of General Medicine, Yale School of Medicine, New Haven, CT, United States; Program in Addiction Medicine, Yale School of Medicine, New Haven, CT, United States. Electronic address: benjamin.howell@yale.edu.; Section of General Medicine, Yale School of Medicine, New Haven, CT, United States.; Connecticut Department of Mental Health and Addiction Services, Hartford, CT, United States; School of Social Work, University of Connecticut, Hartford, CT, United States.; Office of New Drugs, Center for Drug Evaluation and Research, US Food and Drug Administration, Silver Spring, MD, United States.; Division of Epidemiology (DEPI-II), Office of Surveillance and Epidemiology, Center for Drug Evaluation and Research, US Food and Drug Administration, Silver Spring, MD, United States.; Department of Emergency Medicine, Yale School of Medicine, New Haven, CT, United States.; Yale School of Public Health, New Haven, CT, United States.; Yale School of Public Health, New Haven, CT, United States.; Program in Addiction Medicine, Yale School of Medicine, New Haven, CT, United States; Department of Emergency Medicine, Yale School of Medicine, New Haven, CT, United States.; Section of General Medicine, Yale School of Medicine, New Haven, CT, United States; Program in Addiction Medicine, Yale School of Medicine, New Haven, CT, United States; Yale School of Public Health, New Haven, CT, United States.; Section of General Medicine, Yale School of Medicine, New Haven, CT, United States; Program in Addiction Medicine, Yale School of Medicine, New Haven, CT, United States.","Humans, Female, Male, Adult, Retrospective Studies, Opiate Overdose, Opioid-Related Disorders, Middle Aged, Opiate Substitution Treatment, Buprenorphine, Methadone, Connecticut, Cohort Studies, Young Adult, Drug Overdose, Analgesics, Opioid","Addiction health services research, Inpatient addiction treatment, Medically supervised withdrawal, Medications for opioid use disorder, Opioid overdose, opioid agonist treatment"
40415419,"Identifying key risk factors for intentional self-harm, including suicide, among a cohort of people prescribed opioid agonist treatment: A predictive modelling study.","People with opioid use disorder are at increased risk of intentional self-harm and suicide. Although risk factors are well known, most tools for identifying individuals at highest risk of these behaviours have limited clinical value. We aimed to develop and internally validate models to predict intentional self-harm and suicide risk among people who have been in opioid agonist treatment (OAT). Retrospective observational cohort study using linked administrative data. New South Wales, Australia. 46 330 people prescribed OAT between January 2005 and November 2017. Intentional self-harm and suicide prediction within a 30-day window using linked population datasets for OAT, hospitalisation, mental health care, incarceration and mortality. Machine learning algorithms, including neural networks and gradient boosting, assessed over 80 factors during the last 3, 6 and 12 months. Feature visualisation using SHapley Additive exPlanations. Gradient boosting identified 30 important factors in predicting self-harm and/or suicide. These included the most recent frequency of emergency department presentations; hospital admissions involving mental disorders such as borderline personality, substance dependence, psychosis and depression/anxiety; and recent release from incarceration. The best fitting model had a Gini coefficient of 0.65 [area under the curve (AUC) = 0.82] and was applied to 2017 data to estimate the probability of self-harm and/or suicide. On average 46 people (0.16%) (from a total of 28 000 people in OAT) experienced intentional self-harm or suicide per month. Applying a 0.15% probability threshold, approximately 5167 people were classified as high risk, identifying 69% of all self-harm or suicide cases per month. This figure reduced to 450 per month after excluding people already identified in the previous month. Among people in opioid agonist treatment, administrative linked data can be used with advanced machine learning algorithms to predict self-harm and/or suicide in a 30-day prediction window.","Addiction (Abingdon, England)",2025-05-25,10.1111/add.70095,Nicola R Jones,Louisa Degenhardt,"National Drug and Alcohol Research Centre, University of New South Wales, Sydney, Australia.; SydneyMSK Research Flagship Centre, University of Sydney, Sydney, Australia.; National Drug and Alcohol Research Centre, University of New South Wales, Sydney, Australia.; Population Health Sciences, Bristol Medical School, University of Bristol, Bristol, UK.; National Drug and Alcohol Research Centre, University of New South Wales, Sydney, Australia.; Monash Addiction Research Centre, Eastern Health Clinical School, Monash University, Melbourne, Australia.; National Drug and Alcohol Research Centre, University of New South Wales, Sydney, Australia.; Department of Family Medicine and Emergency Medicine, Université de Montréal, Montréal, Canada.; Centre de Recherche du Centre Hospitalier de l'Université de Montréal, Montréal, Canada.; National Drug and Alcohol Research Centre, University of New South Wales, Sydney, Australia.; National Drug and Alcohol Research Centre, University of New South Wales, Sydney, Australia.; National Drug and Alcohol Research Centre, University of New South Wales, Sydney, Australia.",N/A,"data linkage, machine learning, opioid‐related disorders, self‐harm, suicide & feature analysis"
