pmid,pmcid_count
26567928,1
40435106,1
40439116,1
40442611,1
40443568,1
40455735,1
40461104,1
40463549,1
40406079,1
40406152,1
40406410,1
40413965,1
40056282,1
40057254,1
40059142,1
40062230,1
40357112,1
40361980,1
40370791,1
40371673,1
40376191,1
40378100,1
40390258,1
40402494,1
40320496,1
40328372,1
40330594,1
40330996,1
40341059,1
40344682,1
40347317,1
40355842,1
40109952,1
40128470,1
40146872,1
40158088,1
40162830,1
40162958,1
40169705,1
40193396,1
40275805,1
40279125,1
40287986,1
40290132,1
40296928,1
40071563,1
40074595,1
40100213,1
40626143,1
40622248,1
40613015,1
40611139,1
40606797,1
40241145,1
40604906,1
40275030,1
40491188,1
40662112,1
40659386,1
40645629,1
40640812,1
40636708,1
40629632,1
40629159,1
27141842,1
39796473,1
39799346,1
39802926,1
39803120,1
39806633,1
39835312,1
39845270,1
32223799,1
32242510,1
32249897,1
32253435,1
32776123,1
32270705,1
32278973,1
40053337,1
40020306,1
40027876,1
40032291,1
40041612,1
40044190,1
40044208,1
32877542,1
32172129,1
39976964,1
39976966,1
39978098,1
39980547,1
39991427,1
39992690,1
39994673,1
40012715,1
39912818,1
39928325,1
39932963,1
39933808,1
39653391,1
39665432,1
39668106,1
39676816,1
33500204,1
33527647,1
33558118,1
33444811,1
32010384,1
39894834,1
39898232,1
39899738,1
33003262,1
33049393,1
32815740,1
32852333,1
33108851,1
33131488,1
33210305,1
32109494,1
39846866,1
39856755,1
39866970,1
39868613,1
39875890,1
39876867,1
39878651,1
39893464,1
31831976,1
39749210,1
39763526,1
39791691,1
39792440,1
39792609,1
27442712,1
39500227,1
31785139,1
33969378,1
34004324,1
34039201,1
34045156,1
34048967,1
33875252,1
31792093,1
39726823,1
39733804,1
33788869,1
33831525,1
33834124,1
33840510,1
33735424,1
33609043,1
39685644,1
39701337,1
39711040,1
39711536,1
39716190,1
39717391,1
39721983,1
39723346,1
39583037,1
39589797,1
39617080,1
39629563,1
39629640,1
39630598,1
39644778,1
39645154,1
34367814,1
34373930,1
34090417,1
34170554,1
34174377,1
39566366,1
39568500,1
39581582,1
39535203,1
39544317,1
39549364,1
39561316,1
31698639,1
34269977,1
34326369,1
34329609,1
39511521,1
39511899,1
39514897,1
39516756,1
39518706,1
