pmid,pmcid
24487419,11178113
24487419,5094752
24487419,5650119
25398257,4433439
25398257,4684474
25398257,5337672
25398257,5763656
25398257,6868297
25398257,7603759
25398257,9044830
25398257,9745308
25403655,10422913
25403655,11952035
25403655,4930882
25403655,5778302
25403655,6086430
25403655,6154983
25403655,6419142
25403655,7069005
25403655,7159229
25403655,8576974
25403655,8933502
25421008,10389521
25421008,5052905
25421008,6191602
25421008,6364432
25421008,8258720
25854962,4808349
25854962,4902883
25854962,5086264
25854962,5655597
25854962,6095222
25854962,6415329
25854962,6939750
25854962,7117989
25854962,9284996
25921356,10442461
25921356,10504822
25921356,5009448
25921356,5013819
25921356,5522621
25921356,6082974
25921356,6342013
25921356,6792072
25921356,7816102
25921356,8802046
26042876,
26098738,10363104
26098738,11421760
26098738,12178019
26098738,5015039
26098738,5282694
26098738,5420628
26098738,6471209
26098738,7601837
26098738,7602460
26098738,7824117
26098738,8594796
26098738,9919011
26139503,6793986
26139503,7390656
26139503,7528972
26139503,8074541
26139503,8212412
26139503,9190042
26139503,9795974
26175273,10248186
26175273,10317196
26175273,10346430
26175273,10394275
26175273,10524438
26175273,10654001
26175273,10873005
26175273,10912531
26175273,11059950
26175273,11210799
26175273,11362984
26175273,11388400
26175273,11572036
26175273,11580748
26175273,12183738
26175273,4713294
26175273,4946698
26175273,5055456
26175273,5607070
26175273,6066412
26175273,6204109
26175273,6211194
26175273,6266864
26175273,6850055
26175273,6936758
26175273,6957332
26175273,7238708
26175273,7304408
26175273,7415506
26175273,7415610
26175273,7512132
26175273,7704245
26175273,7931632
26175273,7943647
26175273,7967783
26175273,8044265
26175273,8132610
26175273,8176905
26175273,8312986
26175273,8507611
26175273,8679412
26175273,8734065
26175273,9027056
26175273,9070980
26175273,9219169
26175273,9261820
26175273,9869742
26175273,9940795
26187583,10038852
26187583,10361867
26187583,10397634
26187583,10480085
26187583,10762822
26187583,11654378
26187583,4720648
26187583,4720655
26187583,5051930
26187583,5217475
26187583,5385257
26187583,5398561
26187583,5748352
26187583,6086089
26187583,6214299
26187583,6338298
26187583,6407693
26187583,6664849
26187583,6814254
26187583,6848407
26187583,7157485
26187583,7307780
26187583,7357325
26187583,7551569
26187583,8052118
26187583,8192486
26187583,8446307
26187583,8664959
26187583,9328100
26187583,9426918
26187583,9474566
26204260,10032611
26204260,10095486
26204260,10173993
26204260,10664718
26204260,10698756
26204260,10843329
26204260,10930704
26204260,11075345
26204260,11147630
26204260,11358621
26204260,11465817
26204260,11574234
26204260,11662074
26204260,11965338
26204260,12010079
26204260,4797427
26204260,4944783
26204260,5258824
26204260,5293361
26204260,5570509
26204260,5718159
26204260,5812767
26204260,6174684
26204260,6207114
26204260,6296791
26204260,6526678
26204260,7217705
26204260,7484391
26204260,7489517
26204260,7499078
26204260,7567384
26204260,7598716
26204260,7885833
26204260,8315839
26204260,8744618
26204260,9387848
26204260,9488450
26204260,9488615
26204260,9659583
26204260,9778999
26270444,10199237
26270444,11736604
26270444,4751073
26270444,5093170
26270444,6010747
26270444,6067647
26270444,6105993
26270444,7532944
26270444,8047926
26270444,8361524
26270444,8394158
26270444,8887098
26270444,8951721
26270444,9731001
26290479,10071944
26290479,10540487
26290479,10794935
26290479,10877162
26290479,11286564
26290479,5100193
26290479,5575550
26290479,5630496
26290479,5730450
26290479,5837677
26290479,6201733
26290479,6317565
26290479,6493296
26290479,6516807
26290479,6567897
26290479,6879118
26290479,7069160
26290479,7197408
26290479,7718112
26290479,8011506
26290479,8129634
26290479,8130993
26290479,8261830
26290479,8975206
26290479,9541824
26308604,12060078
26308604,4769122
26308604,5221678
26308604,5451777
26308604,6039975
26308604,6087681
26308604,6616188
26308604,7806248
26308604,7928069
26331675,11572557
26331675,12228031
26331675,4974495
26331675,7499847
26331675,8555222
26331675,9542511
26331675,9863190
26338783,4690479
26338783,5333728
26338783,5408318
26338783,5414087
26338783,5628915
26338783,5881942
26338783,6468992
26338783,6815097
26338783,6862951
26338783,7649900
26338783,7698986
26338783,7790902
26338783,9640787
26344010,10810521
26344010,10830388
26344010,12136862
26344010,5064434
26344010,5253548
26344010,5471730
26344010,6151157
26344010,6615272
26344010,6716814
26344010,7574944
26344010,8051775
26344010,8449867
26344010,8633558
26344010,9126726
26344010,9678847
26350481,10221773
26350481,10230936
26350481,5013158
26350481,5072161
26350481,5308122
26350481,5695333
26350481,6014431
26350481,6085058
26350481,6345147
26350481,6618795
26350481,6667114
26350481,6756325
26350481,6888288
26350481,6973008
26350481,7253003
26350481,7514016
26350481,7520846
26350481,7614905
26350481,7988616
26350481,8216267
26350481,9407141
26350481,9875430
26392030,10342857
26392030,5032014
26392030,5293389
26392030,5717972
26392030,6236774
26392030,6238249
26392030,6442189
26392030,8418245
26392030,9277211
26392030,9589337
26392030,9789017
26395527,10998297
26395527,4979823
26395527,5112182
26395527,6108225
26395527,7695941
26416345,11203345
26416345,11396654
26416345,6689107
26416345,6770622
26444646,10051110
26444646,10660316
26444646,10857815
26444646,11465624
26444646,11722968
26444646,5161385
26444646,5442414
26444646,5583538
26444646,5760044
26444646,6356816
26444646,7230624
26444646,7759221
26444646,7873403
26444646,7920475
26444646,9676575
26446012,5553699
26446012,5568254
26446012,6013500
26446012,6086347
26446012,6455035
26446012,7196500
26446012,8254776
26446012,9250633
26446012,9839516
26455587,10405983
26455587,11833584
26455587,5546528
26455587,5585517
26455587,5650005
