journal,count
BMC Public Health,4
JAMA Network Open,4
PLOS One,4
Open Forum Infectious Diseases,3
JAMA Health Forum,3
Scientific Reports,3
International Journal of Chronic Obstructive Pulmonary Disease,3
Addiction Science & Clinical Practice,2
Frontiers in Nutrition,2
medRxiv,2
Frontiers in Public Health,2
Cureus,2
Drug and alcohol dependence,2
JAMA Neurology,1
JAMA Psychiatry,1
Lancet Regional Health - Americas,1
JMIR mHealth and uHealth,1
SSM - Population Health,1
World Journal of Critical Care Medicine,1
Journal of Clinical Medicine,1
