pmid,title,abstract,journal,publicationDate,doi,firstAuthor,lastAuthor,authorAffiliations,meshTags,keywords
40201330,The impact of increased telehealth use on the treatment of substance use disorder during the COVID-19 pandemic.,"The COVID-19 pandemic necessitated a shift from in-person substance use disorder (SUD) treatment to virtual telehealth (TH) visits, creating opportunities to assess the impact of virtual visits on SUD treatment. This study utilized retrospective, de-identified, electronic health record (EHR) data from Oracle EHR Real-World Data to examine the impact of TH on SUD treatment. Patients with a qualifying SUD diagnosis from 141 U.S. health systems were included and divided into pre-TH (January 1, 2017 through January 1, 2019) and COVID (January 1, 2020 through January 1, 2022) cohorts. This study analyzed TH utilization, medications for SUD (MSUD) prescribing, drug-related events, and mental health crises, comparing patient outcomes where the treating clinician was a high TH user versus a low TH user in both pre-COVID and COVID periods. Patients visiting high TH clinicians had lower MSUD prescribing rates, yet a higher MSUD day's supply, and higher rates of TH outpatient visits than those visiting low TH providers, with both groups having an increase in TH visits during the COVID period. Patients with high TH clinicians had lower rates of SUD-related hospitalizations than those with low TH providers but similar rates of drug overdoses, relapses, injection-related infections, and mental health crises. TH modalities showed increased SUD-related outpatient visits without increasing adverse outcomes, indicating its potential as a sustainable alternative to in-person care. This study highlights the need for further research on TH efficacy for SUD-specific populations and supports the continued integration of telehealth in SUD treatment post-pandemic.",SSM - population health,2025-06-01,10.1016/j.ssmph.2025.101780,Fares Qeadan,Talar Markossian,"Loyola University Chicago, Parkinson School of Health Sciences and Public Health, Maywood, IL, USA.; Loyola University Chicago, Parkinson School of Health Sciences and Public Health, Maywood, IL, USA.; Loyola University Chicago, Parkinson School of Health Sciences and Public Health, Maywood, IL, USA.; Department of Biomedical Informatics, Western Michigan University Homer Stryker M.D. School of Medicine, Kalamazoo, MI, USA.; Loyola University Chicago, Parkinson School of Health Sciences and Public Health, Maywood, IL, USA.",N/A,"COVID-19 pandemic, Drug overdose deaths, Drug-related mortality, Pharmacotherapy, Substance use disorders (SUDs), Telehealth"
40202749,Automating the Addiction Behaviors Checklist for Problematic Opioid Use Identification.,"Individuals whose chronic pain is managed with opioids are at high risk of developing an opioid use disorder. Electronic health records (EHR) allow large-scale studies to identify a continuum of problematic opioid use, including opioid use disorder. Traditionally, this is done through diagnostic codes, which are often unreliable and underused. To determine whether regular expressions, an interpretable natural language processing technique, could automate a validated clinical tool (Addiction Behaviors Checklist) to identify problematic opioid use. This cross-sectional study reports on a retrospective cohort with data analyzed from 2021 through 2023. The approach was evaluated against a blinded, manually reviewed holdout test set and validated against an independent test set at a separate institution. The study used data from Vanderbilt University Medical Center's Synthetic Derivative, a deidentified version of the EHR for research purposes. This cohort comprised 8063 individuals with chronic pain, defined by diagnostic codes on at least 2 days. The study team collected free-text notes, demographics, and diagnostic codes and performed an external validation with 100 individuals with chronic pain from Geisinger, recruited from an interventional pain clinic cohort. The primary outcome was the evaluation of the automated method in identifying patients demonstrating problematic opioid use and its comparison with manual medical record review and opioid use disorder diagnostic codes. Methods with F1 scores were evaluated (a single value that combines sensitivity and positive predictive value at a single threshold) and areas under the curve (a single value that combines sensitivity and specificity across multiple thresholds). Among the 8063 patients in the primary site (5081 female [63%] and 2982 male [37%]; mean [SD] age, 56 [16] years) and 100 patients in the validation site (57 female [57%] and 43 male [43%]; mean [SD] age, 54 [13] years), the automated approach outperformed diagnostic codes based on F1 scores (0.73; 95% CI, 0.62-0.83 vs 0.08; 95% CI, 0.00-0.19 at the primary site and 0.70; 95% CI, 0.50-0.85 vs 0.29; 95% CI, 0.07-0.50 at the validation site) and areas under the curve (0.82; 95% CI, 0.73-0.89 vs 0.52; 95% CI, 0.50-0.55 at the primary site and 0.86; 95% CI, 0.76-0.94 vs 0.59;95% CI, 0.50-0.67 at validation site). This automated data extraction technique may facilitate earlier identification of people at risk for and who are experiencing problematic opioid use, and create new opportunities for studying long-term sequelae of opioid pain management.",JAMA psychiatry,2025-06-01,10.1001/jamapsychiatry.2025.0424,Angus H Chatham,Alvin D Jeffery,"Vanderbilt University School of Nursing, Nashville, Tennessee.; Vanderbilt University School of Nursing, Nashville, Tennessee.; Research Institute, Geisinger Commonwealth School of Medicine, Scranton, Pennsylvania.; Research Institute, Geisinger Commonwealth School of Medicine, Scranton, Pennsylvania.; Vanderbilt University School of Nursing, Nashville, Tennessee.; Vanderbilt University School of Nursing, Nashville, Tennessee.; Department of Anesthesiology, School of Medicine, Vanderbilt University, Nashville, Tennessee.; Department of Psychiatry, University of California San Diego, La Jolla.; Division of Genetic Medicine, Department of Medicine, Vanderbilt University Medical Center, Nashville, Tennessee.; Institute for Genomic Medicine, University of California San Diego, La Jolla.; Department of Molecular Physiology and Biophysics, Vanderbilt Genetics Institute, Vanderbilt University, Nashville, Tennessee.; Vanderbilt University School of Nursing, Nashville, Tennessee.; Department of Biomedical Informatics, Vanderbilt University Medical Center, Nashville, Tennessee.","Humans, Opioid-Related Disorders, Male, Cross-Sectional Studies, Female, Middle Aged, Chronic Pain, Retrospective Studies, Checklist, Electronic Health Records, Adult, Natural Language Processing, Behavior, Addictive, Analgesics, Opioid, Aged",N/A
40204368,"Implementation of screening, brief intervention, and referral to treatment (SBIRT) utilizing the CRAFFT+N among pediatric patients at an outpatient psychiatric practice.","Substance use among adolescents poses a significant public health challenge, with escalating rates over recent decades contributing to preventable morbidity and mortality. Despite its prevalence, only a fraction of affected individuals receive intervention, emphasizing the need for comprehensive healthcare strategies. The CRAFFT is a common tool used to evaluate substance use in youths, but limited studies have examined the innovative CRAFFT+N, which includes a nicotine screen. Thus, this study aimed to evaluate the feasibility and fidelity of pediatric SBIRT in an outpatient psychiatric setting through retrospective chart review, and secondary aims were to explore rates of pediatric substance use and associations with psychiatric variables and modality of visits, in addition to trends over time. A retrospective chart review of electronic health record data was completed. Chi-squared analyses were used to compare which psychiatric diagnoses and psychotropic medications were associated with positive CRAFFT+N scores. A total of 455 patient encounters were reviewed, revealing concerning rates of substance and nicotine use, with approximately 20 % screening positive on the CRAFFT+N. Depressive disorders (p < 0.001), OCD (p = 0.012), and neurodevelopmental disorders (p = 0.015) were associated with positive CRAFFT scores. Positive nicotine scores were associated with bipolar disorders (p < 0.001), psychotic disorders (p = 0.001), and other psychiatric disorders (p = 0.039). Mood stabilizers were the only medication class associated with positive CRAFFT+N scores (both p < 0.001). The new CRAFFT+N tool can be used to implement SBIRT into the workflow in an outpatient setting interested in assessing substance use in those aged 12-21 years.",Archives of psychiatric nursing,2025-04-01,10.1016/j.apnu.2025.151863,Shawna Witt,Jamie Zelazny,"University of Pittsburgh School of Nursing, Department of Health and Community Systems, 3500 Victoria St., Pittsburgh, PA 15213, United States of America.; University of Pittsburgh School of Nursing, Department of Health and Community Systems, 3500 Victoria St., Pittsburgh, PA 15213, United States of America. Electronic address: Bnk13@pitt.edu.; University of Pittsburgh School of Nursing, Department of Health and Community Systems, 3500 Victoria St., Pittsburgh, PA 15213, United States of America.","Humans, Retrospective Studies, Male, Adolescent, Female, Referral and Consultation, Substance-Related Disorders, Mass Screening, Child, Mental Disorders, Outpatients, Ambulatory Care","Adolescents, Screening, Substance use"
40204884,Tobacco smoking and the risk of aortic dissection in the UK Biobank and a meta-analysis of prospective studies.,"Tobacco smoking is thought to increase risk of aortic dissection, however, few prospective studies have been published on the association to date and little is known about the effect of smoking cessation on risk of aortic dissection. To clarify these associations we investigated the association between different aspects of tobacco smoking and aortic dissection in the UK Biobank Study and we summarized the available data in a meta-analysis of cohort studies. Multivariable Cox proportional hazards models were used to estimate hazard ratios (HRs) and 95% confidence intervals (CIs) for the association between smoking and risk of aortic dissection in the UK Biobank. PubMed and Embase were searched up to 19th of July 2024 to identify relevant cohort studies and random effects models were used to calculate summary relative risks (RRs) and 95% CIs in the meta-analysis. During a mean follow-up of 12.3 years a total of 376 incident cases of aortic dissection were identified among 499,078 participants. The multivariable adjusted hazard ratio for current and former smokers versus never smokers were 2.48 (1.87-3.29) and 1.03 (0.81-1.29), respectively. There was a dose-response between increasing number of cigarettes smoked per day and aortic dissection risk with HRs (95% CIs) of 2.31 (1.13-4.71), 2.94 (1.88-4.58), and 2.63 (1.65-4.37) for 1-9, 10-19, and ≥ 20 cigarettes/day among current smokers. Greater number of pack-years was positively associated with aortic dissection (1.66, 1.21-2.28 for ≥ 30 pack-years vs. never smokers). Former smokers who had quit for varying durations had a 48-75% reduction in aortic dissection risk when compared to current smokers. In the meta-analysis, the summary RR was 2.44 (1.65-3.60, I",Scientific reports,2025-04-09,10.1038/s41598-025-96529-y,Momina Yawar I Khan,Dagfinn Aune,"Department of Epidemiology and Biostatistics, School of Public Health, Imperial College London, White City Campus, 90 Wood Lane, London, W12 0BZ, UK.; Department of Epidemiology and Biostatistics, School of Public Health, Imperial College London, White City Campus, 90 Wood Lane, London, W12 0BZ, UK.; Department of Epidemiology and Biostatistics, School of Public Health, Imperial College London, White City Campus, 90 Wood Lane, London, W12 0BZ, UK.; Department of Thoracic and Cardiovascular Surgery, Heart, Vascular, and Thoracic Institute, Cleveland Clinic, Cleveland, OH, USA.; Department of Epidemiology and Biostatistics, School of Public Health, Imperial College London, White City Campus, 90 Wood Lane, London, W12 0BZ, UK. d.aune@imperial.ac.uk.; Department of Nutrition, Oslo New University College, Oslo, Norway. d.aune@imperial.ac.uk.; Department of Research, Cancer Registry of Norway, Norwegian Institute of Public Health, Oslo, Norway. d.aune@imperial.ac.uk.","Humans, Aortic Dissection, United Kingdom, Tobacco Smoking, Prospective Studies, Female, Male, Risk Factors, Middle Aged, Biological Specimen Banks, Proportional Hazards Models, Smoking Cessation, Aged, Adult, UK Biobank","Aortic dissection, Cohort, Meta-analysis, Smoking, Tobacco"
40205451,Cross-sectional examination of characteristics of higher-dose buprenorphine prescriptions during the era of illicit fentanyl.,"In response to greater illicit fentanyl use, buprenorphine daily doses exceeding the FDA's recommended target daily dose (16 mg) and maximum suggested daily dose (24 mg) may provide better outcomes, but little is known about higher dosage prescribing patterns. To better understand buprenorphine prescribing patterns, this manuscript examines the frequency and characteristics of dispensed buprenorphine of ≤ 16mg, > 16-24 mg, and > 24 mg daily dose. We used IQVIA data to conduct a cross-sectional study of opioid use disorder-indicated buprenorphine prescriptions dispensed at retail pharmacies January 2019 - December 2020; categorized prescriptions as ≤ 16mg, > 16 to 24 mg, and > 24 mg daily dose; and examined overall rates and rates by patient, insurer and county characteristics, and prescriber specialty. We categorized buprenorphine prescriptions by patient sex, age cohort, primary payment source, and prescriber specialty and state and conducted univariate and bivariate analyses of buprenorphine daily dose categories overall and among clinicians frequently prescribing buprenorphine at the highest doses, > 24 mg. Approximately 19.5% (n = 5,568,964) of the 28 million buprenorphine prescriptions from 68,898 clinicians were > 16-24 mg; 2% (n = 641,390) were > 24 mg. Approximately 26% (n = 17,939) of clinicians wrote at least one prescription > 24 mg; 2,780 clinicians (4% of buprenorphine prescribers) were responsible for 82.2% (n = 527,597) of dispensed prescriptions > 24 mg. 28% of prescriptions > 24 mg written by these prescribers were cash-pay, 12.5% covered by Medicaid, and 6.7% covered by Medicare. There was no correlation between state fentanyl overdose rate and buprenorphine prescriptions > 24 mg per 1,000,000 residents. In 2019-2020, fewer than 3% of dispensed buprenorphine prescriptions exceeded the FDA suggested maximum of 24 mg daily dose; 80% of the prescriptions for a > 24 mg daily dose were written by 4% of buprenorphine prescribers. As clinicians and policymakers pay greater attention to ensuring individuals are receiving buprenorphine dosages adequate to effectively treat their opioid use disorder, the recently revised FDA recommendations may encourage such behavior. Additionally, disproportionate reliance on cash payment for higher daily doses suggests public and private insurers could facilitate access to such treatment when appropriate.",Addiction science & clinical practice,2025-04-09,10.1186/s13722-025-00547-0,Bradley D Stein,Jessica S Merlin,"RAND, Pittsburgh, PA, USA. Stein@rand.org.; RAND, Arlington, VA, USA.; Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, USA.; Program for Addiction Research, Clinical Care, Knowledge and Advocacy, Division of Epidemiology, Department of Internal Medicine, University of Utah School of Medicine, Salt Lake City, UT, USA.; Informatics, Decision-Enhancement, and Analytic Sciences Center, VA Salt Lake City Health Care System, Salt Lake City, Utah, USA.; Department of Medicine, University of Pittsburgh School of Medicine, Pittsburgh, PA, USA.","Humans, Buprenorphine, Cross-Sectional Studies, Fentanyl, Male, Female, Practice Patterns, Physicians', Opioid-Related Disorders, Adult, Middle Aged, United States, Analgesics, Opioid, Narcotic Antagonists, Drug Prescriptions, Young Adult, Opiate Substitution Treatment, Adolescent, Dose-Response Relationship, Drug","Buprenorphine, Insurance, Opioid use disorder"
40207202,Real-world Rollout of Injectable Antiretrovirals for HIV Prevention and Treatment: Correlates of Early Adoption.,"Data are limited on implementation of long-acting injectable (LAI) HIV treatment (ART) and preexposure prophylaxis (PrEP). We characterized ""early adopters"" of LAI ART and PrEP in terms of social determinants of health using a health equity lens. Our retrospective cohort included patients prescribed ART or PrEP through a large urban health system (January 2021-September 2023) in the Northeastern United States. We used electronic health record data for PrEP and ART to examine group differences between those on LAI or oral medications using analysis of variance, chi-square tests, or Fisher exact tests. Bivariate logistic regression modeled associations between LAI ART or LAI PrEP and social determinants of health. In the PrEP group, 238 patients were prescribed LAI (n = 63) or oral (n = 193) PrEP. Most PrEP patients were men (80.7%), non-Hispanic (79.5%), and White (60.7%) and had public insurance (83.1%). Compared with patients on oral PrEP, those on LAI less often experienced food insecurity, financial strain, depression, anxiety, or substance use disorders. In bivariate models, LAI PrEP inversely correlated with female sex, current smoking, depression, anxiety, and substance use disorders. In the treatment group, 1194 patients were prescribed LAI (n = 76) or oral (n = 1118) ART, with a median age of 57.0 years; 63.6% were from minoritized groups. Only age was significantly associated with LAI ART (odds ratio, 0.97; 95% CI, 0.961-0.993;  In this large retrospective cohort of patients on LAI PrEP and ART, patients receiving LAI less often experienced social barriers to accessing care. Public health interventions are needed to overcome health inequities tied to access of LAI ART for HIV prevention and treatment.",Open forum infectious diseases,2025-02-01,10.1093/ofid/ofaf029,Liza Koshy,Jaimie P Meyer,"Chronic Disease Epidemiology, Yale School of Public Health, New Haven, Connecticut, USA.; Yale New Haven Health, New Haven, Connecticut, USA.; Infectious Diseases, Yale School of Medicine, New Haven, Connecticut, USA.; Infectious Diseases, Yale School of Medicine, New Haven, Connecticut, USA.; Yale Center for Clinical Investigation, Joint Data Analytics Team, New Haven, Connecticut, USA.; Yale School of Medicine, New Haven, Connecticut, USA.; Chronic Disease Epidemiology, Yale School of Public Health, New Haven, Connecticut, USA.; Chronic Disease Epidemiology, Yale School of Public Health, New Haven, Connecticut, USA.; Infectious Diseases, Yale School of Medicine, New Haven, Connecticut, USA.",N/A,"HIV, PrEP, antiretroviral therapy, implementation, long-acting injectable"
40207475,Association between HALP and all-cause and specific mortality in US adult with nonalcoholic fatty liver disease cirrhosis: a cohort study of National Health and Nutrition Examination Survey 2005-2018.,"Nonalcoholic fatty liver disease (NAFLD) cirrhosis is a significant health concern with a major impact on global morbidity and mortality. This study investigates the association of hemoglobin, albumin, lymphocyte, and platelet (HALP) with all-cause mortality, cardiovascular disease mortality, and cancer-related mortality in patients with NAFLD cirrhosis. This retrospective cohort study used data from the National Health and Nutrition Examination Survey, assessing 11 550 adults. NAFLD cirrhosis was defined by a hepatic steatosis index greater than 36 and a NAFLD fibrosis score greater than 0.676 in participants without viral hepatitis or excessive alcohol use. The HALP score was categorized into low (<32), moderate (32-48.3), and high (>48.3). Logistic and weighted Cox regression analyses were conducted, along with subgroup and restricted cubic spline analyses. Higher HALP scores were associated with lower all-cause mortality. Subgroup analyses revealed significant interactions with gender and age, showing a decreased risk of all-cause mortality in males and individuals aged 40 and above with higher HALP scores. A U-shaped relationship between HALP scores and all-cause mortality was observed. The study demonstrates that HALP is associated with a lower risk of all-cause mortality in the NAFLD cirrhosis population, suggesting that HALP may be a useful predictor of mortality risk.",European journal of gastroenterology & hepatology,2025-06-01,10.1097/MEG.0000000000002959,Ruifeng Zhang,Jing Yu,"Department of Clinical Medicine, Shantou University Medical College, Shantou, China.; Department of Clinical Medicine, Shantou University Medical College, Shantou, China.; Department of Clinical Medicine, Shantou University Medical College, Shantou, China.; Department of Clinical Medicine, Shantou University Medical College, Shantou, China.; Department of Clinical Medicine, Shantou University Medical College, Shantou, China.; Department of Clinical Medicine, Shantou University Medical College, Shantou, China.; Department of Gastroenterology, First Affiliated Hospital of Shantou University Medical College, Shantou, China.","Humans, Male, Female, Non-alcoholic Fatty Liver Disease, Middle Aged, Nutrition Surveys, Retrospective Studies, Adult, Liver Cirrhosis, United States, Aged, Risk Factors, Platelet Count, Lymphocyte Count, Biomarkers, Cause of Death, Cardiovascular Diseases, Hemoglobins, Serum Albumin","HALP, NAFLD, NHANES, cirrhosis, cohort study, mortality"
40210205,Sociodemographic Differences in Logins and Engagement With the Electronic Health Coach Messaging Feature of a Mobile App to Support Opioid and Stimulant Use Recovery: Results From a 1-Month Observational Study.,"Mobile health apps can serve as a critical tool in supporting the overall health of uninsured and underinsured individuals and groups who have been historically marginalized by the medical community and may be hesitant to seek health care. However, data on uptake and engagement with specific app features (eg, in-app messaging) are often lacking, limiting our ability to understand nuanced patterns of app use. This study aims to characterize sociodemographic differences in uptake and engagement with a smartphone app (uMAT-R) to support recovery efforts in a sample of individuals with opioid and stimulant use disorders in the Greater St. Louis area. We enrolled individuals into the uMAT-R service program from facilities providing recovery support in the Greater St. Louis area between January 2020 and April 2022. Study participants were recruited from service project enrollees. We describe the number of logins and electronic health coach (eCoach) messages participants sent in the first 30 days following enrollment using medians and IQRs and counts and proportions of those who ever (vs never) logged in and sent their eCoach a message. We compare estimates across sociodemographic subgroups, by insurance status, and for those who did and did not participate in the research component of the project using Wilcoxon rank-sum tests and Pearson chi-square tests. Of all 695 participants, 446 (64.2%) logged into uMAT-R at least once during the 30 days following enrollment (median 2, IQR 0-8 logins). Approximately half of those who logged in (227/446) used the eCoach messaging feature (median 1, IQR 0-3 messages). Research participants (n=498), who could receive incentives for app engagement, were more likely to log in and use the eCoach messaging feature compared to others (n=197). Younger individuals, those with higher educational attainment, and White, non-Hispanic individuals were more likely to log in at least once compared to their counterparts. The median number of logins was higher among women, and those who were younger, employed, and not on Medicaid compared to their counterparts. Among those who logged in at least once, younger individuals and those with lower educational attainment were more likely to send at least one eCoach message compared to others. Mobile apps are a viable tool for supporting individuals in recovery from opioid and stimulant use disorders. However, older individuals, racial and ethnic minorities, and those with lower educational attainment may need additional login support, or benefit from alternative mechanisms of recovery support. In addition, apps may need to be tailored to achieve sustained engagement (ie, repeat logins) among men, and individuals who are older, unemployed, or on Medicaid. Older individuals and those with higher educational attainment who may be less likely to use eCoach messaging features could benefit from features tailored to their preferences.",JMIR mHealth and uHealth,2025-04-10,10.2196/54753,Lindsey M Filiatreau,Patricia Cavazos-Rehg,"Division of Infectious Diseases, School of Medicine, Washington University in St Louis, St Louis, MO, United States.; Department of Psychiatry, School of Medicine, Washington University in St Louis, St Louis, MO, United States.; Department of Psychiatry, School of Medicine, Washington University in St Louis, St Louis, MO, United States.; Department of Psychiatry, School of Medicine, Washington University in St Louis, St Louis, MO, United States.; Department of Psychiatry, School of Medicine, Washington University in St Louis, St Louis, MO, United States.; Department of Psychiatry, School of Medicine, Washington University in St Louis, St Louis, MO, United States.; Department of Psychiatry, School of Medicine, Washington University in St Louis, St Louis, MO, United States.","Humans, Female, Male, Mobile Applications, Adult, Middle Aged, Opioid-Related Disorders, Sociodemographic Factors, Substance-Related Disorders, Socioeconomic Factors, Missouri","Pearson chi-square, St. Louis, Wilcoxon rank-sum tests, app, digital health intervention, eCoach messaging, engagement, mHealth, mobile app, mobile health, observational study, opioid use disorder, recovery, smartphone, sociodemographic, stimulant use, stimulant use disorder, substance misuse, substance use recovery, uptake"
40217624,Real-World Evidence of Administration of Biologic Agents in Patients with Severe Asthma: An Analysis of the Respiratory Department of University Hospital of Patras Asthma Registry.,N/A,Journal of clinical medicine,2025-03-22,10.3390/jcm14072174,Ourania Papaioannou,Argyrios Tzouvelekis,"Department of Respiratory Medicine, University Hospital of Patras, 26504 Patras, Greece.; Department of Respiratory Medicine, University Hospital of Patras, 26504 Patras, Greece.; Department of Respiratory Medicine, University Hospital of Patras, 26504 Patras, Greece.; Department of Respiratory Medicine, University Hospital of Patras, 26504 Patras, Greece.; Department of Respiratory Medicine, University Hospital of Patras, 26504 Patras, Greece.; Department of Respiratory Medicine, University Hospital of Patras, 26504 Patras, Greece.; Department of Respiratory Medicine, University Hospital of Patras, 26504 Patras, Greece.; Department of Respiratory Medicine, University Hospital of Patras, 26504 Patras, Greece.; Department of Respiratory Medicine, University Hospital of Patras, 26504 Patras, Greece.; Department of Respiratory Medicine, University Hospital of Patras, 26504 Patras, Greece.; Department of Respiratory Medicine, University Hospital of Patras, 26504 Patras, Greece.; Department of Respiratory Medicine, University Hospital of Patras, 26504 Patras, Greece.",N/A,"benralizumab, biologic agents, mepolizumab, severe asthma, tezepelumab"
40219928,Breast cancer screening among individuals with a substance use disorder: a retrospective cohort study.,"There is limited evidence about whether a substance use disorder (SUD) is a barrier to breast cancer screening. Because SUDs are highly prevalent in the USA, it is important to establish whether this patient population is less likely to obtain screening. This retrospective cohort study included 220 227 patients, with 209 132 having no SUD and 11 095 (5.0%) with SUD based on electronic health record data in a multi-state, Midwestern healthcare system (1 January 2018-31 December 2022). The outcome was the receipt of a mammogram in the 5-year follow-up period. Patients were women aged 40-69 years as of 1 January 2018, with ≥ 2 in-person primary care visits between 2018 and 2022. Covariates included demographics, health services utilization, and physical/psychiatric conditions. Mean age of the sample was 54.7 (± 8.3) years old. After controlling for confounding, women without any SUDs had more than twice the odds of mammogram receipt compared to those with stimulant use disorder (odds ratio [OR] 2.06; 95% confidence interval [CI]: 1.83-2.33). Women with no SUDs had 89% higher odds of mammogram receipt compared to those with opioid use disorder (OR 1.89; 95% CI: 1.76-2.03), followed by ""other"" SUDs (OR 1.86; 95% CI: 1.69-2.06), sedative use (OR 1.70; 95% CI: 1.43-2.04), cannabis use (OR 1.58; 95% CI: 1.44-1.74), and alcohol use disorders (OR 1.49; 95% CI: 1.41-1.58). Despite the high prevalence of SUDs, evidence of preventive service delivery among individuals with SUDs is still lacking. Further research is needed to investigate other healthcare disparities in preventive service delivery among individuals with SUDs.",Family practice,2025-04-12,10.1093/fampra/cmaf018,Kento Sonoda,Jeffrey F Scherrer,"Department of Family and Community Medicine, Saint Louis University School of Medicine, St. Louis, MO 63110, United States.; The AHEAD Institute, Saint Louis University School of Medicine, St. Louis, MO 63104, United States.; Department of Family and Community Medicine, Saint Louis University School of Medicine, St. Louis, MO 63110, United States.; Department of Family and Community Medicine, Saint Louis University School of Medicine, St. Louis, MO 63110, United States.; The AHEAD Institute, Saint Louis University School of Medicine, St. Louis, MO 63104, United States.; Department of Family and Community Medicine, Saint Louis University School of Medicine, St. Louis, MO 63110, United States.; The AHEAD Institute, Saint Louis University School of Medicine, St. Louis, MO 63104, United States.; Department of Family and Community Medicine, Saint Louis University School of Medicine, St. Louis, MO 63110, United States.; The AHEAD Institute, Saint Louis University School of Medicine, St. Louis, MO 63104, United States.; Department of Psychiatry and Behavioral Neuroscience, Saint Louis University School of Medicine, St. Louis, MO 63104, United States.","Humans, Female, Middle Aged, Retrospective Studies, Breast Neoplasms, Substance-Related Disorders, Adult, Early Detection of Cancer, Aged, Mammography","cancer screening test, healthcare disparities, mammography, substance use disorders"
