journal,count
JAMA network open,4
BMC public health,4
Journal of substance use and addiction treatment,4
PloS one,4
International journal of chronic obstructive pulmonary disease,3
The Laryngoscope,3
Open forum infectious diseases,3
Scientific reports,3
JAMA health forum,3
Journal of shoulder and elbow surgery,2
Cureus,2
The Journal of hand surgery,2
Addiction science & clinical practice,2
Frontiers in nutrition,2
Journal of pediatric orthopedics,2
Drug and alcohol dependence,2
Journal of general internal medicine,2
Journal of burn care & research : official publication of the American Burn Association,2
Frontiers in public health,2
Journal of addiction medicine,2
